kenmo	湘南投資勉強会	3486	グロバルリンクマネジメント	1078	2196	103.7%					Kent	湘南投資勉強会	FM	FM_MSCIフロンティア・セレクト	26.23	26.3	0.3%				人間	湘南投資勉強会	9828	元気寿司	1535	3095	101.6%
oct	湘南投資勉強会	3491	ＧＡＴＥＣＨＮＯＬＯＧＩＥＳ	1233	1313	6.5%					タカ@takanovalue	神戸投資勉強会	5194	相模ゴム	733	899	22.6%										
サントーシー	湘南投資勉強会	3496	アズーム	4930	7200	46.0%					あそびにん (KN)	湘南投資勉強会	3697	ＳＨＩＦＴ	23760	35820	50.8%										
キリン@神戸投資勉強会	神戸投資勉強会	3498	霞ヶ関キャピタル	4435	8960	102.0%					Kent	湘南投資勉強会	5136	ｔｒｉｐｌａ	2000	1575	-21.3%										
カリティクス	湘南投資勉強会	3498	霞ヶ関キャピタル	4435	8960	102.0%					Kent	湘南投資勉強会	6625	ＪＡＬＣＯホールディングス	242	232	-4.1%				大きなかぶ	湘南投資勉強会	9552	Ｍ＆Ａ総合研究所	2013.3333	4475	122.3%
ふう	神戸投資勉強会	3526	芦森工業	1235	2014	63.1%					thun	湘南投資勉強会	3186	ネクステージ	2533	2588	2.2%										
ゆうと	神戸投資勉強会	3526	芦森工業	1235	2014	63.1%					thun	湘南投資勉強会	4169	ＥＮＥＣＨＡＮＧＥ	1038	1035	-0.3%										
エル川	湘南投資勉強会	3526	芦森工業	1235	2014	63.1%					thun	湘南投資勉強会	7038	フロンティア・マネジメント	1282	1511	17.9%										
スーパーこさく	神戸投資勉強会	3540	歯愛メディカル	5260	4200	-20.2%					よしぼん	神戸投資勉強会	5125	ファインズ	1335	574	-57.0%										
なーたん	湘南投資勉強会	3550	スタジオアタオ	223	222	-0.4%					ぱふぇっと	神戸投資勉強会	2334	イオレ	996	1100	10.4%										
やまち	神戸投資勉強会	3553	共和レザー	498	718	44.2%					アリ	湘南投資勉強会	6918	アバールデータ	4010	6740	68.1%										
かんざき	湘南投資勉強会	3561	力の源ＨＤ	1018	1428	40.3%					イタル	湘南投資勉強会	3359	ｃｏｔｔａ	315	545	73.0%										
お多福	湘南投資勉強会	3561	力の源ＨＤ	1018	1428	40.3%					あんこ	湘南投資勉強会	3675	クロス・マーケティングＧ	741	557	-24.8%										
人間	湘南投資勉強会	3561	力の源ＨＤ	1018	1428	40.3%					イタル	湘南投資勉強会	4398	ブロードバンドセキュリテ	1261	1339	6.2%										
先高	湘南投資勉強会	3561	力の源ＨＤ	1018	1428	40.3%					イタル	湘南投資勉強会	6062	チャームケアコーポレーション	1208	1267	4.9%										
リョウ	湘南投資勉強会	3561	力の源ＨＤ	1018	1428	40.3%					イタル	湘南投資勉強会	6555	ＭＳ＆ＣＯＮＳＵＬＴＩＮＧ	613	713	16.3%										
シャカ	湘南投資勉強会	3561	力の源ＨＤ	1018	1428	40.3%					イタル	湘南投資勉強会	7134	クルーバー	543.3333	736	35.5%										
うわん	神戸投資勉強会	3562	Ｎｏ．１	1207	947	-21.5%					らう	湘南投資勉強会	5125	ファインズ	1335	574	-57.0%										
めがね	湘南投資勉強会	3563	ＦＯＯＤ＆ＬＩＦＥＣＯＭＰＡＮ	2785	2897	4.0%					つぶ	神戸投資勉強会	7725	インターアクション	1588	1083	-31.8%										
えびす	湘南投資勉強会	3611	マツオカコーポレーション	1044	1450	38.9%					うさみん	湘南投資勉強会	4439	東名	1670	1818	8.9%										
altama7772	神戸投資勉強会	3652	ディジタルメディアプロ	2545	2630	3.3%					でふし	神戸投資勉強会	3180	ビューティガレージ	1687.5	2207	30.8%										
Nami	湘南投資勉強会	3663	セルシス	712	719	1.0%					ののこ	神戸投資勉強会	5136	ｔｒｉｐｌａ	2000	1575	-21.3%										
ののこ	神戸投資勉強会	3664	モブキャストＨＬＤＧＳ	92	55	-40.2%					秋吉義明	湘南投資勉強会	3903	ｇｕｍｉ	919	443	-51.8%										
するが	湘南投資勉強会	3665	エニグモ	651	367	-43.6%					新田明くん	神戸投資勉強会	2114	フジ日本精糖	532	962	80.8%										
ﾐﾘｵﾝﾊﾞｶﾞｰ	神戸投資勉強会	3665	エニグモ	651	367	-43.6%					新田明くん	神戸投資勉強会	3666	テクノスジャパン	466	636	36.5%										
ドライヴ	湘南投資勉強会	3665	エニグモ	651	367	-43.6%					新田明くん	神戸投資勉強会	3963	シンクロ・フード	459	648	41.2%										
うわん	神戸投資勉強会	3665	エニグモ	651	367	-43.6%					初心	湘南投資勉強会	5125	ファインズ	1335	574	-57.0%										
新田明くん	神戸投資勉強会	3666	テクノスジャパン	466	636	36.5%					えびす	湘南投資勉強会	3611	マツオカコーポレーション	1044	1450	38.9%										
しのぴー横綱若三杉	神戸投資勉強会	3666	テクノスジャパン	466	636	36.5%					えびす	湘南投資勉強会	7014	名村造船所	383	1266	230.5%										
先高	湘南投資勉強会	3667	ｅｎｉｓｈ	352	170	-51.7%					人間	湘南投資勉強会	CWEB	CSI中国インターネット・インデックス株ブル2倍ETF	67.79	33.32	-50.8%										
あんこ	湘南投資勉強会	3675	クロス・マーケティングＧ	741	557	-24.8%					リョウ	湘南投資勉強会	4436	ミンカブ・ジ・インフォノイト	2458	1506	-38.7%										
nobukichi?49	湘南投資勉強会	3675	クロス・マーケティングＧ	741	557	-24.8%					リョウ	湘南投資勉強会	4575	キャンバス	1310	960	-26.7%										
やまち	神戸投資勉強会	3675	クロス・マーケティングＧ	741	557	-24.8%					リョウ	湘南投資勉強会	4890	坪田ラボ	904	335	-62.9%										
栗エイタ	湘南投資勉強会	3675	クロス・マーケティングＧ	741	557	-24.8%					りんたん	湘南投資勉強会	7180	九州フィナンシャルＧ	440	814.8	85.2%										
rurio	神戸投資勉強会	3679	じげん	374	531	42.0%					アリ	湘南投資勉強会	7408	ジャムコ	1390	1589	14.3%										
うわん	神戸投資勉強会	3683	サイバーリンクス	968	765	-21.0%					よっしー??	神戸投資勉強会	6403	水道機工	1329	1475	11.0%										
新田明くん	神戸投資勉強会	3687	フィックスターズ	1173	1291	10.1%					しのぴー横綱若三杉	神戸投資勉強会	DRIP	Direxion石油ガス探鉱ベア2倍ETF	14.67	11.29	-23.0%										
うわん	神戸投資勉強会	3690	イルグルム	635	637	0.3%					バシマエ	湘南投資勉強会	9552	Ｍ＆Ａ総合研究所	2013.3333	4475	122.3%										
ふくろう	湘南投資勉強会	3697	ＳＨＩＦＴ	23760	35820	50.8%					あさか	湘南投資勉強会	4379	ＰＨＯＴＯＳＹＮＴＨ	299	446	49.2%										
あそびにん (KN)	湘南投資勉強会	3697	ＳＨＩＦＴ	23760	35820	50.8%					あさか	湘南投資勉強会	5070	ドラフト	375	707	88.5%										
しのぴー横綱若三杉	神戸投資勉強会	3791	ＩＧポート	2154	4680	117.3%					kenmo	湘南投資勉強会	6632	ＪＶＣケンウッド	348	741	112.9%				むね坊主	神戸投資勉強会	6946	日本アビオニクス	3650	8200	124.7%
