Date,Open,High,Low,Close,Volume
2022-10-25,1898.13,1912.61,1895.71,1907.14,1072671200
2022-10-24,1902.58,1904.35,1886.97,1887.19,1065659400
2022-10-21,1889.21,1891.49,1881.98,1881.98,1061360300
2022-10-20,1890.05,1899.25,1886.96,1895.41,1093283400
2022-10-19,1901.42,1910.91,1901.42,1905.06,1018972200
2022-10-18,1902.0,1905.34,1889.59,1901.44,1154669700
2022-10-17,1881.23,1884.43,1875.24,1879.56,1086521200
2022-10-14,1882.05,1906.07,1880.62,1898.19,1358354600
2022-10-13,1866.09,1866.83,1854.61,1854.61,1076387200
2022-10-12,1867.27,1876.01,1865.64,1869.0,1189915900
2022-10-11,1887.69,1888.6,1867.53,1871.24,1338946200
2022-10-07,1898.37,1913.59,1896.41,1906.8,1146328300
2022-10-06,1914.12,1930.47,1914.12,1922.47,1175576700
2022-10-05,1922.22,1924.53,1909.35,1912.92,1220623600
2022-10-04,1876.99,1907.36,1876.26,1906.89,1418004800
2022-10-03,1827.32,1848.04,1815.3,1847.58,1308177900
2022-09-30,1857.77,1861.1,1830.55,1835.94,1558087200
2022-09-29,1856.08,1872.44,1853.17,1868.8,1443201500
2022-09-28,1861.52,1866.44,1836.89,1855.15,1601655100
2022-09-27,1872.71,1883.3,1870.89,1873.01,1195496800
2022-09-26,1892.16,1892.16,1863.93,1864.28,1582167800
2022-09-22,1904.17,1918.75,1903.14,1916.12,1201386900
2022-09-21,1932.97,1934.68,1920.8,1920.8,1115189600
2022-09-20,1951.1,1956.96,1944.34,1947.27,1074190300
2022-09-16,1937.84,1943.67,1934.35,1938.56,1458667700
2022-09-15,1948.49,1954.38,1946.37,1950.43,935299900
2022-09-14,1955.39,1957.05,1941.0,1947.46,1238669000
2022-09-13,1981.38,1987.55,1977.09,1986.57,968651100
2022-09-12,1981.52,1984.93,1974.34,1980.22,968435800
2022-09-09,1958.43,1969.11,1957.71,1965.53,1275076200
2022-09-08,1933.79,1957.62,1933.64,1957.62,1255482100
2022-09-07,1920.87,1921.23,1906.26,1915.65,1168077500
2022-09-06,1929.53,1939.05,1922.34,1926.58,894691000
2022-09-05,1925.82,1932.37,1920.49,1928.79,853078100
2022-09-02,1938.99,1939.8,1920.68,1930.17,1076650300
2022-09-01,1945.7,1950.21,1934.9,1935.49,1144537100
2022-08-31,1951.1,1963.16,1950.46,1963.16,1377396000
2022-08-30,1957.45,1969.71,1954.57,1968.38,1051711800
2022-08-29,1947.54,1949.04,1935.77,1944.1,1122782800
2022-08-26,1983.89,1989.17,1978.92,1979.59,906568000
2022-08-25,1972.77,1980.03,1968.71,1976.6,961892200
2022-08-24,1973.08,1976.46,1964.28,1967.18,1061160300
2022-08-23,1980.27,1980.42,1968.3,1971.44,1014409400
2022-08-22,1979.32,1992.85,1975.98,1992.59,964953200
2022-08-19,2000.08,2003.09,1990.84,1994.52,1069143100
2022-08-18,1992.38,1994.22,1985.13,1990.5,1026483400
2022-08-17,1989.68,2006.99,1989.01,2006.99,1177694100
2022-08-16,1982.17,1983.09,1976.88,1981.96,1014064900
2022-08-15,1975.34,1985.84,1974.5,1984.96,1042467600
2022-08-12,1954.3,1973.18,1952.34,1973.18,1514248100
2022-08-10,1935.87,1937.28,1924.6,1933.65,1111666700
2022-08-09,1950.32,1952.95,1935.99,1937.02,1171949100
2022-08-08,1939.98,1951.53,1939.55,1951.41,1169255400
2022-08-05,1926.63,1947.54,1926.63,1947.17,1255293300
2022-08-04,1938.07,1938.66,1927.72,1930.73,1343449400
2022-08-03,1926.6,1933.81,1924.29,1930.77,1221290000
2022-08-02,1947.68,1948.22,1923.52,1925.49,1201890100
2022-08-01,1943.06,1960.11,1937.58,1960.11,1275768600
2022-07-29,1950.86,1952.72,1935.27,1940.31,1342436600
2022-07-28,1954.43,1956.16,1939.77,1948.85,1407974000
2022-07-27,1938.82,1949.54,1935.4,1945.75,956884700
2022-07-26,1944.08,1947.15,1939.11,1943.17,905936900
2022-07-25,1944.63,1953.76,1940.6,1943.21,857913200
2022-07-22,1945.54,1958.64,1943.44,1955.97,1033525800
2022-07-21,1938.76,1951.01,1935.96,1950.59,1000729600
2022-07-20,1927.14,1946.44,1926.65,1946.44,1145802700
2022-07-19,1906.23,1906.86,1891.36,1902.79,1001707400
2022-07-15,1896.65,1901.1,1879.18,1892.5,1118741200
2022-07-14,1877.43,1896.4,1875.17,1893.13,1004405800
2022-07-13,1887.9,1893.77,1885.03,1888.85,920461800
2022-07-12,1907.68,1908.75,1879.22,1883.3,1088879700
2022-07-11,1912.82,1924.64,1903.96,1914.66,1183471500
2022-07-08,1889.43,1907.76,1884.07,1887.43,1499125500
2022-07-07,1869.29,1884.33,1857.1,1882.33,1307456800
2022-07-06,1864.66,1867.49,1851.42,1855.97,1417067700
2022-07-05,1882.09,1886.16,1872.04,1879.12,1068149000
2022-07-04,1859.78,1870.83,1856.01,1869.71,1134067700
2022-07-01,1875.59,1881.32,1836.73,1845.04,1387360300
2022-06-30,1887.08,1891.02,1867.49,1870.82,1395709400
2022-06-29,1893.14,1898.74,1889.74,1893.57,1699812900
2022-06-28,1885.52,1907.38,1885.32,1907.38,1249927900
2022-06-27,1884.21,1889.33,1877.15,1887.42,1133879200
2022-06-24,1851.56,1866.85,1846.55,1866.72,1261766200
2022-06-23,1850.21,1867.65,1846.39,1851.74,1124921000
2022-06-22,1870.4,1871.1,1852.65,1852.65,1147042800
2022-06-21,1839.7,1863.42,1833.81,1856.2,1139052100
2022-06-20,1845.98,1846.66,1808.77,1818.94,1215527300
2022-06-17,1837.57,1843.52,1819.11,1835.9,1895479800
2022-06-16,1877.86,1893.44,1866.0,1867.81,1151463300
2022-06-15,1874.33,1877.81,1855.93,1855.93,1252132400
2022-06-14,1873.8,1880.73,1865.85,1878.45,1286662300
2022-06-13,1913.46,1915.9,1896.47,1901.06,1243734700
2022-06-10,1950.16,1955.8,1941.22,1943.09,1310029900
2022-06-09,1966.01,1978.39,1965.39,1969.05,1319970500
2022-06-08,1954.54,1969.98,1954.43,1969.98,1334072000
2022-06-07,1946.59,1956.1,1943.79,1947.03,1200869600
2022-06-06,1919.64,1941.1,1918.99,1939.11,1038191200
2022-06-03,1937.9,1941.13,1924.96,1933.14,1147941300
2022-06-02,1930.39,1932.49,1917.92,1926.39,1133348700
2022-06-01,1916.9,1939.19,1916.9,1938.64,1269171700
2022-05-31,1917.11,1926.0,1911.02,1912.67,2332582700
2022-05-30,1905.42,1926.18,1902.79,1922.44,1731927800
2022-05-27,1897.98,1898.74,1884.57,1887.3,1210510100
2022-05-26,1878.95,1891.91,1877.58,1877.58,1122107200
